,Date, Open, High, Low, Close
0,12/31/19,1184.63,1188.2,1188.2,1188.2
1,12/30/19,1192.4,1184.66,1184.66,1184.66
2,12/27/19,1191.74,1192.49,1192.49,1192.49
3,12/26/19,1192.84,1191.73,1191.73,1191.73
4,12/24/19,1194.34,1193.14,1193.14,1193.14
5,12/23/19,1190.47,1194.33,1194.33,1194.33
6,12/20/19,1181.3,1190.45,1190.45,1190.45
7,12/19/19,1176.73,1181.27,1181.27,1181.27
8,12/18/19,1175.29,1176.7,1176.7,1176.7
9,12/17/19,1176.3,1175.27,1175.27,1175.27
10,12/16/19,1163.83,1176.3,1176.3,1176.3
11,12/13/19,1164.58,1163.7,1163.7,1163.7
12,12/12/19,1154.54,1165.0,1165.0,1165.0
13,12/11/19,1152.88,1154.8,1154.8,1154.8
14,12/10/19,1151.19,1152.89,1152.89,1152.89
15,12/09/19,1159.04,1151.2,1151.2,1151.2
16,12/06/19,1151.79,1159.11,1159.11,1159.11
17,12/05/19,1151.66,1152.01,1152.01,1152.01
18,12/04/19,1141.25,1151.67,1151.67,1151.67
19,12/03/19,1143.64,1141.25,1141.25,1141.25
20,12/02/19,1148.71,1143.63,1143.63,1143.63
21,11/29/19,1152.63,1148.69,1148.69,1148.69
22,11/27/19,1147.23,1152.73,1152.73,1152.73
23,11/26/19,1147.97,1147.21,1147.21,1147.21
24,11/25/19,1135.11,1147.99,1147.99,1147.99
25,11/22/19,1131.36,1135.88,1135.88,1135.88
26,11/21/19,1128.91,1131.35,1131.35,1131.35
27,11/20/19,1129.83,1128.87,1128.87,1128.87
28,11/19/19,1122.49,1129.84,1129.84,1129.84
29,11/18/19,1126.82,1122.5,1122.5,1122.5
30,11/15/19,1102.48,1126.75,1126.75,1126.75
31,11/14/19,1102.66,1102.38,1102.38,1102.38
32,11/13/19,1101.95,1103.19,1103.19,1103.19
33,11/12/19,1095.55,1101.98,1101.98,1101.98
34,11/11/19,1100.15,1095.63,1095.63,1095.63
35,11/08/19,1091.46,1100.18,1100.18,1100.18
36,11/07/19,1089.27,1091.46,1091.46,1091.46
